wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
5B030103001,City of Jackson WWTP,5S,Amador,Wastewater Treatment Facility,2017,0.4355057425679547,43.6,98.4,10,3.8,15000.0,0.2,1.0
5B390100001,Deuel Vocational Institution,5S,San Joaquin,Wastewater Treatment Facility,2017,0.4320252683744115,43.2,98.3,8,3.75,0.0,0.25,1.0
5D152078001,Kern Ridge Growers Arvin Packing Shed,5F,Kern,Food Processing NEC,2004,0.42984681244692263,43.0,98.3,4,4.0,0.0,0.25,1.0
4B190104001,Tapia WRF,4,Los Angeles,Wastewater Treatment Facility,2017,0.4295768504452677,43.0,98.2,7,6.25,0.0,0.7142857142857143,1.0
5A290105001,Donner Summit PUD WWTP,5S,Nevada,Wastewater Treatment Facility,2017,0.42713285281059366,42.7,98.1,8,4.142857142857143,3000.0,0.25,0.5
1B82114OHUM,Arcata City WWTF,1,Humboldt,Wastewater Treatment Facility,2010,0.4155573333675249,41.6,98.1,3,4.333333333333333,126000.0,0.3333333333333333,1.0
5A480104001,Beach WWTF,5S,Solano,Wastewater Treatment Facility,2017,0.41486565760562366,41.5,98.0,6,3.5,0.0,0.16666666666666666,1.0
5C54NC00128,Double D Dairy,5F,Tulare,Animal Feeding,2012,0.4062784082480756,40.6,97.9,3,4.0,0.0,0.3333333333333333,1.0
5B390104001,City of Manteca WW Quality Control Facility,5S,San Joaquin,Wastewater Treatment Facility,2017,0.39776083972558013,39.8,97.9,7,4.142857142857143,0.0,0.2857142857142857,1.0
5D545155N01,Sweeney Dairy,5F,Tulare,Animal Feeding,2017,0.38767635691090946,38.8,97.8,5,4.777777777777778,94500.0,0.4,1.0
5A570105001,Woodland Water Pollution Control Facility,5S,Yolo,Wastewater Treatment Facility,2017,0.3865279399421838,38.7,97.8,8,3.5714285714285716,0.0,0.125,1.0
5C10NC00150,Chris Chaney Dairy,5F,Fresno,Animal Feeding,2013,0.383565207592752,38.4,97.7,3,5.666666666666667,21600.0,0.6666666666666666,1.0
5A462023001,Sixteen to One Mine,5S,Sierra,Metal Mining,2017,0.38172619526258456,38.2,97.6,6,3.6666666666666665,5000.0,0.16666666666666666,1.0
2 071001001,General Chemical- WWTP,2,Contra Costa,Manufacturing NEC,2003,0.37549343367702664,37.5,97.6,4,3.5,0.0,0.25,1.0
2 43S0972,"1485-1509 Berger Drive, San Jose",2,0,Facility,2004,0.3725568832428923,37.3,97.5,4,2.75,0.0,0.25,1.0
5B50NC00274,Joe Sousa Feedlot,5S,Stanislaus,Animal Feeding,2014,0.3674574468985275,36.7,97.4,4,2.75,0.0,0.25,1.0
5C15NC00038,Faial Farms Dairy,5F,Kern,Animal Feeding,2013,0.36587910783578675,36.6,97.4,3,4.0,0.0,0.3333333333333333,1.0
5SSO10845,Red Bluff CS,5R,Tehama,Collection_System,2016,0.3610106151998861,36.1,97.3,7,3.0,0.0,0.0,1.0
2 071037001,Richmond WPCP,2,Contra Costa,Wastewater Treatment Facility,2013,0.3476497360933172,34.8,97.3,3,5.666666666666667,0.0,0.6666666666666666,1.0
5A322000001,Collins Pine Chester Sawmill,5R,Plumas,Saw Mill,2017,0.3442969017731053,34.4,97.2,4,5.5,0.0,0.5,1.0
2 417032001,SF Airport Mel Leong TP-Sanitary Waste,2,San Mateo,Wastewater Treatment Facility,2017,0.34046618675272333,34.0,97.1,6,2.0,0.0,0.16666666666666666,1.0
8 365814001,Loyola Dairy #1 - Bickmore,8,San Bernardino,Animal Feeding,2002,0.33937019522345685,33.9,97.1,4,3.3333333333333335,0.0,0.25,1.0
3 400107001,San Luis Obispo WWTP,3,San Luis Obispo,Wastewater Treatment Facility,2007,0.33301243055018587,33.3,97.0,5,2.75,0.0,0.2,1.0
5B50NC00136,Bento Dairy,5S,Stanislaus,Animal Feeding,2015,0.33159889607832843,33.2,96.9,3,4.0,0.0,0.6666666666666666,1.0
5C16NC00024,Fagundes Agribusiness Dairy,5F,Kings,Animal Feeding,2012,0.3191750426214021,31.9,96.9,4,3.75,0.0,0.25,1.0
2 482001001,Benicia WWTP,2,Solano,Wastewater Treatment Facility,2002,0.31571974848243617,31.6,96.8,3,7.0,0.0,1.0,1.0
